Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0775        -329.2431    -330.9089       1.6658   243.1
0.0780        -329.2406    -330.8270       1.5864   231.6
0.0785        -329.2816    -330.7433       1.4617   213.4
0.0790        -329.2609    -330.6723       1.4114   206.0
0.0795        -329.2599    -330.6297       1.3698   199.9
0.0800        -329.2922    -330.6185       1.3263   193.6
0.0805        -329.2497    -330.6294       1.3797   201.4
0.0810        -329.2506    -330.6439       1.3933   203.4
0.0815        -329.2157    -330.6571       1.4415   210.4
0.0820        -329.1309    -330.6703       1.5394   224.7
0.0825        -329.1733    -330.6759       1.5027   219.3
0.0830        -329.1754    -330.6781       1.5027   219.3
0.0835        -329.1139    -330.6750       1.5611   227.9
0.0840        -329.1642    -330.6668       1.5026   219.3
0.0845        -329.1236    -330.6659       1.5423   225.1
0.0850        -329.1329    -330.6769       1.5440   225.4
0.0855        -329.1031    -330.7032       1.6001   233.6
0.0860        -329.1256    -330.7443       1.6187   236.3
0.0865        -329.1354    -330.7889       1.6535   241.4
0.0870        -329.0875    -330.8295       1.7421   254.3
0.0875        -329.0331    -330.8583       1.8252   266.4
0.0880        -329.0034    -330.8721       1.8687   272.8
0.0885        -328.9835    -330.8771       1.8935   276.4
0.0890        -328.9593    -330.8743       1.9150   279.5
0.0895        -328.9167    -330.8654       1.9487   284.5
0.0900        -328.9297    -330.8571       1.9274   281.3
0.0905        -328.9133    -330.8539       1.9406   283.3
0.0910        -328.9425    -330.8512       1.9087   278.6
0.0915        -328.9311    -330.8501       1.9189   280.1
0.0920        -328.9047    -330.8463       1.9417   283.4
0.0925        -328.8912    -330.8276       1.9364   282.6
0.0930        -328.8520    -330.7994       1.9474   284.3
0.0935        -328.7911    -330.7644       1.9733   288.0
0.0940        -328.7682    -330.7230       1.9548   285.3
0.0945        -328.8373    -330.6827       1.8454   269.4
0.0950        -328.8888    -330.6559       1.7671   257.9
0.0955        -328.8463    -330.6429       1.7966   262.3
0.0960        -328.8282    -330.6261       1.7979   262.4
0.0965        -328.8022    -330.5990       1.7968   262.3
0.0970        -328.8434    -330.5693       1.7259   251.9
0.0975        -328.8124    -330.5530       1.7406   254.1
0.0980        -328.8085    -330.5406       1.7321   252.8
0.0985        -328.8328    -330.5239       1.6911   246.9
0.0990        -328.8031    -330.4874       1.6843   245.9
0.0995        -328.7781    -330.4350       1.6569   241.9
0.1000        -328.8110    -330.3791       1.5681   228.9
0.1005        -328.7720    -330.3338       1.5618   228.0
0.1010        -328.7204    -330.3079       1.5875   231.7
0.1015        -328.7498    -330.2998       1.5500   226.3
0.1020        -328.7781    -330.2921       1.5140   221.0
0.1025        -328.7874    -330.2736       1.4862   216.9
0.1030        -328.7669    -330.2551       1.4881   217.2
0.1035        -328.8130    -330.2492       1.4362   209.6
0.1040        -328.7650    -330.2605       1.4955   218.3
0.1045        -328.8103    -330.2909       1.4806   216.1
0.1050        -328.7845    -330.3255       1.5410   224.9
0.1055        -328.7505    -330.3421       1.5916   232.3
0.1060        -328.7580    -330.3379       1.5799   230.6
0.1065        -328.7271    -330.3298       1.6027   233.9
0.1070        -328.7147    -330.3409       1.6262   237.4
0.1075        -328.7340    -330.3853       1.6513   241.0
0.1080        -328.7194    -330.4587       1.7394   253.9
0.1085        -328.6460    -330.5560       1.9100   278.8
0.1090        -328.6287    -330.6574       2.0287   296.1
0.1095        -328.6380    -330.7425       2.1045   307.2
0.1100        -328.5657    -330.7947       2.2290   325.4
0.1105        -328.5024    -330.8043       2.3020   336.0
0.1110        -328.5538    -330.7755       2.2218   324.3
0.1115        -328.6299    -330.7282       2.0983   306.3
0.1120        -328.5789    -330.6850       2.1061   307.4
0.1125        -328.5897    -330.6649       2.0752   302.9
0.1130        -328.6319    -330.6836       2.0517   299.5
0.1135        -328.6590    -330.7152       2.0562   300.1
0.1140        -328.6493    -330.7364       2.0871   304.7
0.1145        -328.6776    -330.7233       2.0457   298.6
0.1150        -328.6625    -330.6711       2.0087   293.2
0.1155        -328.6670    -330.5905       1.9235   280.8
0.1160        -328.6756    -330.5005       1.8249   266.4
0.1165        -328.6793    -330.4176       1.7382   253.7
0.1170        -328.6743    -330.3495       1.6751   244.5
0.1175        -328.6912    -330.3044       1.6132   235.5
0.1180        -328.6795    -330.2845       1.6050   234.3
0.1185        -328.6871    -330.2943       1.6072   234.6
0.1190        -328.6712    -330.3344       1.6632   242.8
0.1195        -328.6483    -330.3866       1.7383   253.7
0.1200        -328.6048    -330.4392       1.8344   267.8
0.1205        -328.5557    -330.4668       1.9111   279.0
0.1210        -328.5216    -330.4515       1.9299   281.7
0.1215        -328.5103    -330.4045       1.8942   276.5
0.1220        -328.4941    -330.3622       1.8682   272.7
0.1225        -328.4989    -330.3546       1.8557   270.9
0.1230        -328.5034    -330.3873       1.8838   275.0
0.1235        -328.4461    -330.4528       2.0067   292.9
0.1240        -328.4827    -330.5379       2.0552   300.0
0.1245        -328.5127    -330.6129       2.1002   306.6
0.1250        -328.4636    -330.6622       2.1986   320.9
0.1255        -328.4677    -330.6786       2.2109   322.7
0.1260        -328.4653    -330.6751       2.2098   322.6
0.1265        -328.4492    -330.6580       2.2087   322.4
0.1270        -328.4652    -330.6382       2.1730   317.2
0.1275        -328.4154    -330.6290       2.2136   323.1
